hotel_name,location,county_or_region,country,description,price_range,amenities,room_types,rating,review_summary,nearby_attractions,hotel_category,contact_information,website_url,image_url,latitude,longitude,source_url,formatted_address
Chui Mbugani Cottages,Add Listing,,Kenya,"There are two units available. One unit has a double bed, while the other has two single beds. Guests can expect a well-equipped kitchenette, a fridge, gas stove, beddings and toiletries. Lighting is by electricity. A house caretaker is available. Rates: Citizens & residents – Ksh. 6,000 Non-residents – US $110",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/chui-mbugani-cottages/,
Eka Hotel Nairobi,Add Listing,,Kenya,"Eka is a contemporary 4-star hotel in Nairobi, conveniently located at the intersection of Mombasa Road and Southern By-pass, 5 minutes from JKIA through the Nairobi Expressway with close proximity to the Nairobi national park, major government and corporate organizations. Eka Hotel Nairobi features 167 well-appointed rooms, five meeting & conference rooms, restaurant & bar, gym, swimming pool, gift shop, wellness center among other top facilities offering the best choice venue for your business and leisure stay. Guests staying at the hotel have exclusive access to the Eka Gardens, the magnificent well-manicured lawns and garden with a jogging track, seating area and scenic views.",,,,,,,Hotel,0719045000,,,,,https://tic.magicalkenya.com/listing/eka-hotel-nairobi/,
Fishing Mbugani Lodge,Add Listing,,Kenya,"There are two cabins available. Each cabin has three bedrooms. Two bedrooms of the bedrooms have a double and a single bed in each. The last bedroom has a single bed. Amenities include two ensuite bathrooms per cabin, furnished sitting room with a fire place, dining area and a kitchen equipped with gas stove, kitchen utensils, cutlery, crockery and glasses. Beddings, towels, soap and toiletries are provided. Lighting is by solar all round. Visitors are advised to bring their own firewood for warming. Rates: Citizens & residents: Ksh 25, 000 Non-Residents: US$ 310",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/fishing-mbugani-lodge/,
Golf Hotel Limited,Add Listing,,Kenya,"Nestled in the heart of Kakamega, Golf Hotel offers a delightful blend of comfort, leisure, and family-friendly amenities. Its prime location adjacent to the Kakamega Golf Course and proximity to the Kakamega Forest Reserve makes it an ideal retreat for both relaxation and exploration. The hotel boasts 60 architecturally designed, self-contained rooms, including two fully furnished suites, all equipped with modern conveniences such as free Wi-Fi, smart TVs, and DSTV. Guests can unwind in the expansive outdoor swimming pool—the largest in Kakamega—or enjoy a refreshing drink at the poolside Topaz bar. For families, the well-equipped children’s playground and dedicated kids’ pool ensure that younger guests are entertained and safe. Dining at Golf Hotel is a culinary journey. The Turaco Restaurant offers a diverse menu, while the Choma Zone specializes in grilled and pan-fried delicacies. Guests can also savor snacks and beverages under the stars, surrounded by manicured lawns and equatorial rainforest trees under a beautiful bonfire. With additional amenities like conference halls, laundry services, and ample parking, Golf Hotel Kakamega stands out as a premier destination for travellers seeking a blend of relaxation and adventure in Western Kenya.",,,,,,,Hotel,0722607400,,,,,https://tic.magicalkenya.com/listing/golf-hotel-limited/,
Isukuti Mbugani House,Add Listing,,Kenya,"There are four available unit, each consisting of one double bed and one single bed. Amenities include fully equipped kitchen and dining area, refrigerator and gas cooker. Lighting is by electricity. Also provided is a house caretaker, beddings, mosquito nets, towels and toiletries. TV with access to local channels. Rates: Citizens & Residents: Ksh. 4,000 Non-Residents: US$ 50",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/isukuti-mbugani-house/,
Kamboyo Mbugani House,Add Listing,,Kenya,"The unit consists of four bedrooms; a master bedroom with a double bed and a single bed, 2nd bedroom with a double bed, 3rd bedroom with two single beds and 4th bedroom with a single bed. Amenities include two bathrooms, one being ensuite to the master bedroom. There is also an outside shower in the courtyard. It is also equipped with a kitchenette, electricity and toiletries. A house caretaker is available. Rates; Citizens & residents – Ksh.30, 000 Non Residents – US$ 300",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kamboyo-mbugani-house/,
Kapkuro Mbugani Cottage,Add Listing,,Kenya,"There are four units available. Each unit consists of one bedroom with one single and one double bed. Amenities include a kitchenette with a gas cooker, hot showers, beddings, towels and toiletries. Lighting is by electricity. A house care taker is available. Rates: Citizens & residents – Ksh. 5,000 Non-residents – US$ 100",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kapkuro-mbugani-cottage/,
KENYA COMFORT HOTELS AND SUITES,Add Listing,,Kenya,"Kenya Comfort Hotel- Nairobi City Centre is a convenient budget friendly hotel located in the CBD, offering comfortable rooms, a rooftop lounge, restaurant and easy access to major attractions and business centers. Kenya Comfort Suites- Milimani, Nairobi is near State house and Yaya center, with spacious rooms, a swimming pool, restaurant, conference facilities and warm Kenyan hospitality.",,,,,,,Hotel,0707608867,,,,,https://tic.magicalkenya.com/listing/kenya-comfort-hotels-and-suites/,
Kibo Mbugani House,Add Listing,,Kenya,"This is a two-bedroom house. One of the bedrooms has a double bed while the second bedroom has two single beds. Amenities include a bathroom, furnished sitting area, open plan dining area, a kitchen equipped with a gas stove, fridge, kitchen utensils, cutlery, crockery, glasses, beddings, toiletries, and electricity. A house caretaker is available. Rates: Citizens & residents – Ksh. 15,000 Non-residents – US $250",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kibo-mbugani-house/,
Kilimanjaro Mbugani Annex,Add Listing,,Kenya,"This two-bedroom unit comes with one double bed in one of the bedrooms and two single beds in the other. The amenities available include bathrooms, electricity, a kitchen, fridge, kitchen utensils, cutlery, crockery, glasses, bedding, and toiletries. A house caretaker is available. Rates: Citizens & residents – Ksh. 10,000 Non-residents – US $200",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kilimanjaro-mbugani-annex/,
Kilimanjaro Mbugani House,Add Listing,,Kenya,"This is a three bedroom house. The first and second bedrooms have a double bed in each while the third bedroom has three single beds. Amenities include a bathroom, furnished sitting area, open plan dining area, a kitchen equipped with a gas cooker, fridge, kitchen utensils, cutlery, crockery, glasses, beddings, toiletries, and electricity. A house caretaker is available. Rates: Citizens & residents – Ksh. 20,000 Non-residents – US$ 300",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kilimanjaro-mbugani-house/,
Kinna Mbugani Cottage (Big),Add Listing,,Kenya,"The amenities in this unit include a bathroom and beddings are provided. No kitchen equipment are provided. Visitors are therefore advised to carry their own and gas burner. An outdoor cooking area is provided. Lighting is by electricity. Rates: Citizens & residents: Ksh.7, 000 Non-Residents: US$160",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kinna-mbugani-cottage-big/,
Kinna Mbugani Cottages,Add Listing,,Kenya,"Three of the cottages have one bedroom with two single beds. The fourth cottage has two bedrooms each with a double bed. Amenities include a bathroom, beddings, mosquito nets, toiletries. No kitchen equipment are provided. Visitors are therefore advised to carry their own and gas burner. An outdoor cooking area is provided. Lighting is by electricity. Rates: Citizens & residents: Ksh.3, 500 Non-Residents: US$80",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kinna-mbugani-cottages/,
Kinna Mbugani House,Add Listing,,Kenya,"This unit contains 5 bedrooms and a separate annex. Two of the bedrooms are master ensuite with a double bed in each. Bedroom three has a double bed while the last two bedrooms have a single bed in each. The annex has a double bed and its own bathroom. Amenities include a fully equipped kitchen with refrigerator and gas cooker. Lighting is by solar all round. Beddings, towels and toiletries are provided. A housekeeper is available. Rates: Citizens & residents – Ksh. 25,000 Non-Residents – US$310",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/kinna-mbugani-house/,
